"","DATE","SUB_ICB_CODE","SUB_ICB_ONS_CODE","ICB","LA_CODE","PATIENT_TYPE","DENTAL_TREATMENT_BAND","COT","UDA","GROUP","POP","COTPer1000","UDAPer1000"
"1",2018-06-30,"03T","E38000099",NA,"E10000019","Child","Band 1",7118,7118,"Child",NA,NA,NA
"2",2018-06-30,"03T","E38000099",NA,"E10000019","Child","Band 2",2188,6564,"Child",NA,NA,NA
"3",2018-06-30,"03T","E38000099",NA,"E10000019","Child","Band 3",52,624,"Child",NA,NA,NA
"4",2018-06-30,"03T","E38000099",NA,"E10000019","Child","Free - Arrest of Bleeding",1,1.2,"Child",NA,NA,NA
"5",2018-06-30,"03T","E38000099",NA,"E10000019","Child","Free - Bridge Repairs",0,0,"Child",NA,NA,NA
"6",2018-06-30,"03T","E38000099",NA,"E10000019","Child","Free - Denture Repair",0,0,"Child",NA,NA,NA
"7",2018-06-30,"03T","E38000099",NA,"E10000019","Child","Free - Prescription Issue",0,0,"Child",NA,NA,NA
"8",2018-06-30,"03T","E38000099",NA,"E10000019","Child","Free - Removal of sutures",0,0,"Child",NA,NA,NA
"9",2018-06-30,"03T","E38000099",NA,"E10000019","Child","Urgent/Occasional",441,529.2,"Child",NA,NA,NA
"10",2018-06-30,"03T","E38000099",NA,"E10000019","Non-paying adult","Band 1",3133,3133,"Adult",NA,NA,NA
"11",2018-06-30,"03T","E38000099",NA,"E10000019","Non-paying adult","Band 2",2555,7665,"Adult",NA,NA,NA
"12",2018-06-30,"03T","E38000099",NA,"E10000019","Non-paying adult","Band 3",669,8028,"Adult",NA,NA,NA
"13",2018-06-30,"03T","E38000099",NA,"E10000019","Non-paying adult","Free - Arrest of Bleeding",0,0,"Adult",NA,NA,NA
"14",2018-06-30,"03T","E38000099",NA,"E10000019","Non-paying adult","Free - Bridge Repairs",0,0,"Adult",NA,NA,NA
"15",2018-06-30,"03T","E38000099",NA,"E10000019","Non-paying adult","Free - Denture Repair",0,0,"Adult",NA,NA,NA
"16",2018-06-30,"03T","E38000099",NA,"E10000019","Non-paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"17",2018-06-30,"03T","E38000099",NA,"E10000019","Non-paying adult","Free - Removal of sutures",0,0,"Adult",NA,NA,NA
"18",2018-06-30,"03T","E38000099",NA,"E10000019","Non-paying adult","Urgent/Occasional",896,1075.2,"Adult",NA,NA,NA
"19",2018-06-30,"03T","E38000099",NA,"E10000019","Paying adult","Band 1",15429,15429,"Adult",NA,NA,NA
"20",2018-06-30,"03T","E38000099",NA,"E10000019","Paying adult","Band 2",7316,21948,"Adult",NA,NA,NA
"21",2018-06-30,"03T","E38000099",NA,"E10000019","Paying adult","Band 3",930,11160,"Adult",NA,NA,NA
"22",2018-06-30,"03T","E38000099",NA,"E10000019","Paying adult","Free - Arrest of Bleeding",1,1.2,"Adult",NA,NA,NA
"23",2018-06-30,"03T","E38000099",NA,"E10000019","Paying adult","Free - Bridge Repairs",2,2.4,"Adult",NA,NA,NA
"24",2018-06-30,"03T","E38000099",NA,"E10000019","Paying adult","Free - Denture Repair",193,193,"Adult",NA,NA,NA
"25",2018-06-30,"03T","E38000099",NA,"E10000019","Paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"26",2018-06-30,"03T","E38000099",NA,"E10000019","Paying adult","Free - Removal of sutures",4,4,"Adult",NA,NA,NA
"27",2018-06-30,"03T","E38000099",NA,"E10000019","Paying adult","Urgent/Occasional",1603,1923.6,"Adult",NA,NA,NA
"28",2018-06-30,"03V","E38000037",NA,"E10000021","Child","Band 1",2516,2516,"Child",NA,NA,NA
"29",2018-06-30,"03V","E38000037",NA,"E10000021","Child","Band 2",1263,3789,"Child",NA,NA,NA
"30",2018-06-30,"03V","E38000037",NA,"E10000021","Child","Band 3",33,396,"Child",NA,NA,NA
"31",2018-06-30,"03V","E38000037",NA,"E10000021","Child","Free - Arrest of Bleeding",0,0,"Child",NA,NA,NA
"32",2018-06-30,"03V","E38000037",NA,"E10000021","Child","Free - Bridge Repairs",0,0,"Child",NA,NA,NA
"33",2018-06-30,"03V","E38000037",NA,"E10000021","Child","Free - Denture Repair",0,0,"Child",NA,NA,NA
"34",2018-06-30,"03V","E38000037",NA,"E10000021","Child","Free - Prescription Issue",0,0,"Child",NA,NA,NA
"35",2018-06-30,"03V","E38000037",NA,"E10000021","Child","Free - Removal of sutures",0,0,"Child",NA,NA,NA
"36",2018-06-30,"03V","E38000037",NA,"E10000021","Child","Urgent/Occasional",260,312,"Child",NA,NA,NA
"37",2018-06-30,"03V","E38000037",NA,"E10000021","Non-paying adult","Band 1",536,536,"Adult",NA,NA,NA
"38",2018-06-30,"03V","E38000037",NA,"E10000021","Non-paying adult","Band 2",1052,3156,"Adult",NA,NA,NA
"39",2018-06-30,"03V","E38000037",NA,"E10000021","Non-paying adult","Band 3",309,3708,"Adult",NA,NA,NA
"40",2018-06-30,"03V","E38000037",NA,"E10000021","Non-paying adult","Free - Arrest of Bleeding",0,0,"Adult",NA,NA,NA
"41",2018-06-30,"03V","E38000037",NA,"E10000021","Non-paying adult","Free - Bridge Repairs",0,0,"Adult",NA,NA,NA
"42",2018-06-30,"03V","E38000037",NA,"E10000021","Non-paying adult","Free - Denture Repair",0,0,"Adult",NA,NA,NA
"43",2018-06-30,"03V","E38000037",NA,"E10000021","Non-paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"44",2018-06-30,"03V","E38000037",NA,"E10000021","Non-paying adult","Free - Removal of sutures",0,0,"Adult",NA,NA,NA
"45",2018-06-30,"03V","E38000037",NA,"E10000021","Non-paying adult","Urgent/Occasional",488,585.6,"Adult",NA,NA,NA
"46",2018-06-30,"03V","E38000037",NA,"E10000021","Paying adult","Band 1",3331,3331,"Adult",NA,NA,NA
"47",2018-06-30,"03V","E38000037",NA,"E10000021","Paying adult","Band 2",1813,5439,"Adult",NA,NA,NA
"48",2018-06-30,"03V","E38000037",NA,"E10000021","Paying adult","Band 3",277,3324,"Adult",NA,NA,NA
"49",2018-06-30,"03V","E38000037",NA,"E10000021","Paying adult","Free - Arrest of Bleeding",2,2.4,"Adult",NA,NA,NA
"50",2018-06-30,"03V","E38000037",NA,"E10000021","Paying adult","Free - Bridge Repairs",5,6,"Adult",NA,NA,NA
"51",2018-06-30,"03V","E38000037",NA,"E10000021","Paying adult","Free - Denture Repair",40,40,"Adult",NA,NA,NA
"52",2018-06-30,"03V","E38000037",NA,"E10000021","Paying adult","Free - Prescription Issue",0,0,"Adult",NA,NA,NA
"53",2018-06-30,"03V","E38000037",NA,"E10000021","Paying adult","Free - Removal of sutures",3,3,"Adult",NA,NA,NA
"54",2018-06-30,"03V","E38000037",NA,"E10000021","Paying adult","Urgent/Occasional",1136,1363.2,"Adult",NA,NA,NA
"55",2018-06-30,"03W","E38000051",NA,"E06000017","Child","Band 1",1714,1714,"Child",NA,NA,NA
"56",2018-06-30,"03W","E38000051",NA,"E06000017","Child","Band 2",465,1395,"Child",NA,NA,NA
"57",2018-06-30,"03W","E38000051",NA,"E06000017","Child","Band 3",13,156,"Child",NA,NA,NA
"58",2018-06-30,"03W","E38000051",NA,"E06000017","Child","Free - Arrest of Bleeding",1,1.2,"Child",NA,NA,NA
"59",2018-06-30,"03W","E38000051",NA,"E06000017","Child","Free - Bridge Repairs",0,0,"Child",NA,NA,NA
"60",2018-06-30,"03W","E38000051",NA,"E06000017","Child","Free - Denture Repair",0,0,"Child",NA,NA,NA
