"","DATE","SUB_ICB_CODE","SUB_ICB_ONS_CODE","ICB","PATIENT_TYPE","AGE_BAND","SEEN","POP","PERCENT_SEEN"
"1",2018-12-31,"03T","E38000099",NA,"Adult","18+",98075,192421,50.97
"2",2018-12-31,"03T","E38000099",NA,"Child","0",48,2196,2.19
"3",2018-12-31,"03T","E38000099",NA,"Child","1",376,2354,15.97
"4",2018-12-31,"03T","E38000099",NA,"Child","10",1644,2322,70.8
"5",2018-12-31,"03T","E38000099",NA,"Child","11",1515,2424,62.5
"6",2018-12-31,"03T","E38000099",NA,"Child","12",1537,2302,66.77
"7",2018-12-31,"03T","E38000099",NA,"Child","13",1525,2266,67.3
"8",2018-12-31,"03T","E38000099",NA,"Child","14",1455,2286,63.65
"9",2018-12-31,"03T","E38000099",NA,"Child","15",1384,2162,64.01
"10",2018-12-31,"03T","E38000099",NA,"Child","16",1291,2363,54.63
"11",2018-12-31,"03T","E38000099",NA,"Child","17",1233,2434,50.66
"12",2018-12-31,"03T","E38000099",NA,"Child","2",691,2377,29.07
"13",2018-12-31,"03T","E38000099",NA,"Child","3",895,2489,35.96
"14",2018-12-31,"03T","E38000099",NA,"Child","4",1167,2562,45.55
"15",2018-12-31,"03T","E38000099",NA,"Child","5",1339,2624,51.03
"16",2018-12-31,"03T","E38000099",NA,"Child","6",1518,2514,60.38
"17",2018-12-31,"03T","E38000099",NA,"Child","7",1557,2570,60.58
"18",2018-12-31,"03T","E38000099",NA,"Child","8",1669,2435,68.54
"19",2018-12-31,"03T","E38000099",NA,"Child","9",1600,2551,62.72
"20",2018-12-31,"03V","E38000037",NA,"Adult","18+",28527,52615,54.22
"21",2018-12-31,"03V","E38000037",NA,"Child","0",15,995,1.51
"22",2018-12-31,"03V","E38000037",NA,"Child","1",207,992,20.87
"23",2018-12-31,"03V","E38000037",NA,"Child","10",737,978,75.36
"24",2018-12-31,"03V","E38000037",NA,"Child","11",656,903,72.65
"25",2018-12-31,"03V","E38000037",NA,"Child","12",637,781,81.56
"26",2018-12-31,"03V","E38000037",NA,"Child","13",563,843,66.79
"27",2018-12-31,"03V","E38000037",NA,"Child","14",563,777,72.46
"28",2018-12-31,"03V","E38000037",NA,"Child","15",482,747,64.52
"29",2018-12-31,"03V","E38000037",NA,"Child","16",449,786,57.12
"30",2018-12-31,"03V","E38000037",NA,"Child","17",432,773,55.89
"31",2018-12-31,"03V","E38000037",NA,"Child","2",363,1057,34.34
"32",2018-12-31,"03V","E38000037",NA,"Child","3",490,1043,46.98
"33",2018-12-31,"03V","E38000037",NA,"Child","4",509,1002,50.8
"34",2018-12-31,"03V","E38000037",NA,"Child","5",617,1104,55.89
"35",2018-12-31,"03V","E38000037",NA,"Child","6",684,1087,62.93
"36",2018-12-31,"03V","E38000037",NA,"Child","7",754,1052,71.67
"37",2018-12-31,"03V","E38000037",NA,"Child","8",735,1046,70.27
"38",2018-12-31,"03V","E38000037",NA,"Child","9",714,959,74.45
"39",2018-12-31,"03W","E38000051",NA,"Adult","18+",118773,265122,44.8
"40",2018-12-31,"03W","E38000051",NA,"Child","0",83,3208,2.59
"41",2018-12-31,"03W","E38000051",NA,"Child","1",891,3459,25.76
"42",2018-12-31,"03W","E38000051",NA,"Child","10",2704,3905,69.24
"43",2018-12-31,"03W","E38000051",NA,"Child","11",2768,3956,69.97
"44",2018-12-31,"03W","E38000051",NA,"Child","12",2647,3729,70.98
"45",2018-12-31,"03W","E38000051",NA,"Child","13",2632,3852,68.33
"46",2018-12-31,"03W","E38000051",NA,"Child","14",2590,3776,68.59
"47",2018-12-31,"03W","E38000051",NA,"Child","15",2466,3640,67.75
"48",2018-12-31,"03W","E38000051",NA,"Child","16",2291,3883,59
"49",2018-12-31,"03W","E38000051",NA,"Child","17",2118,3937,53.8
"50",2018-12-31,"03W","E38000051",NA,"Child","2",1629,3516,46.33
"51",2018-12-31,"03W","E38000051",NA,"Child","3",1974,3542,55.73
