"","DATE","SUB_ICB_CODE","LA_CODE","PATIENT_TYPE","POP"
"1",2018-09-30,"00C",NA,"Adult",83871
"2",2018-09-30,"00C",NA,"Child",22476
"3",2018-09-30,"00D",NA,"Adult",219954
"4",2018-09-30,"00D",NA,"Child",54607
"5",2018-09-30,"00J",NA,"Adult",203168
"6",2018-09-30,"00J",NA,"Child",45933
"7",2018-09-30,"00K",NA,"Adult",226206
"8",2018-09-30,"00K",NA,"Child",63300
"9",2018-09-30,"00L",NA,"Adult",260104
"10",2018-09-30,"00L",NA,"Child",58926
"11",2018-09-30,"00M",NA,"Adult",216729
"12",2018-09-30,"00M",NA,"Child",59915
"13",2018-09-30,"00N",NA,"Adult",119946
"14",2018-09-30,"00N",NA,"Child",29609
"15",2018-09-30,"00P",NA,"Adult",222805
"16",2018-09-30,"00P",NA,"Child",54444
"17",2018-09-30,"00Q",NA,"Adult",110115
"18",2018-09-30,"00Q",NA,"Child",38657
"19",2018-09-30,"00R",NA,"Adult",111110
"20",2018-09-30,"00R",NA,"Child",28760
"21",2018-09-30,"00T",NA,"Adult",217380
"22",2018-09-30,"00T",NA,"Child",67433
"23",2018-09-30,"00V",NA,"Adult",146515
"24",2018-09-30,"00V",NA,"Child",43113
"25",2018-09-30,"00X",NA,"Adult",139113
"26",2018-09-30,"00X",NA,"Child",36568
"27",2018-09-30,"00Y",NA,"Adult",174690
"28",2018-09-30,"00Y",NA,"Child",59069
"29",2018-09-30,"01A",NA,"Adult",292258
"30",2018-09-30,"01A",NA,"Child",84853
"31",2018-09-30,"01C",NA,"Adult",158327
"32",2018-09-30,"01C",NA,"Child",38858
"33",2018-09-30,"01D",NA,"Adult",166331
"34",2018-09-30,"01D",NA,"Child",52128
"35",2018-09-30,"01E",NA,"Adult",158876
"36",2018-09-30,"01E",NA,"Child",43108
"37",2018-09-30,"01F",NA,"Adult",99187
"38",2018-09-30,"01F",NA,"Child",28408
"39",2018-09-30,"01G",NA,"Adult",195675
"40",2018-09-30,"01G",NA,"Child",55657
"41",2018-09-30,"01H",NA,"Adult",258220
"42",2018-09-30,"01H",NA,"Child",60071
"43",2018-09-30,"01J",NA,"Adult",115630
"44",2018-09-30,"01J",NA,"Child",32930
"45",2018-09-30,"01K",NA,"Adult",268049
"46",2018-09-30,"01K",NA,"Child",60622
"47",2018-09-30,"01R",NA,"Adult",144685
"48",2018-09-30,"01R",NA,"Child",36976
"49",2018-09-30,"01T",NA,"Adult",126771
"50",2018-09-30,"01T",NA,"Child",31918
"51",2018-09-30,"01V",NA,"Adult",94304
"52",2018-09-30,"01V",NA,"Child",21596
"53",2018-09-30,"01W",NA,"Adult",228133
"54",2018-09-30,"01W",NA,"Child",62912
"55",2018-09-30,"01X",NA,"Adult",142687
"56",2018-09-30,"01X",NA,"Child",36644
"57",2018-09-30,"01Y",NA,"Adult",201046
"58",2018-09-30,"01Y",NA,"Child",56407
"59",2018-09-30,"02A",NA,"Adult",179851
"60",2018-09-30,"02A",NA,"Child",55642
"61",2018-09-30,"02D",NA,"Adult",82745
"62",2018-09-30,"02D",NA,"Child",22089
"63",2018-09-30,"02E",NA,"Adult",165058
"64",2018-09-30,"02E",NA,"Child",44646
"65",2018-09-30,"02F",NA,"Adult",187957
"66",2018-09-30,"02F",NA,"Child",45195
"67",2018-09-30,"02G",NA,"Adult",91835
"68",2018-09-30,"02G",NA,"Child",22046
"69",2018-09-30,"02H",NA,"Adult",256574
"70",2018-09-30,"02H",NA,"Child",68076
"71",2018-09-30,"02M",NA,"Adult",156493
"72",2018-09-30,"02M",NA,"Child",34218
"73",2018-09-30,"02N",NA,"Adult",125447
"74",2018-09-30,"02N",NA,"Child",34375
"75",2018-09-30,"02P",NA,"Adult",193156
"76",2018-09-30,"02P",NA,"Child",50185
"77",2018-09-30,"02Q",NA,"Adult",93149
"78",2018-09-30,"02Q",NA,"Child",23155
"79",2018-09-30,"02R",NA,"Adult",250415
"80",2018-09-30,"02R",NA,"Child",90109
"81",2018-09-30,"02T",NA,"Adult",163286
"82",2018-09-30,"02T",NA,"Child",46168
"83",2018-09-30,"02W",NA,"Adult",58519
"84",2018-09-30,"02W",NA,"Child",26439
"85",2018-09-30,"02X",NA,"Adult",243073
"86",2018-09-30,"02X",NA,"Child",65867
"87",2018-09-30,"02Y",NA,"Adult",257488
"88",2018-09-30,"02Y",NA,"Child",58615
"89",2018-09-30,"03A",NA,"Adult",192330
"90",2018-09-30,"03A",NA,"Child",52713
"91",2018-09-30,"03D",NA,"Adult",125380
"92",2018-09-30,"03D",NA,"Child",27784
"93",2018-09-30,"03E",NA,"Adult",127123
"94",2018-09-30,"03E",NA,"Child",32921
"95",2018-09-30,"03F",NA,"Adult",204219
"96",2018-09-30,"03F",NA,"Child",56454
"97",2018-09-30,"03H",NA,"Adult",125434
"98",2018-09-30,"03H",NA,"Child",34392
"99",2018-09-30,"03J",NA,"Adult",145000
"100",2018-09-30,"03J",NA,"Child",47102
"101",2018-09-30,"03K",NA,"Adult",135615
"102",2018-09-30,"03K",NA,"Child",35679
"103",2018-09-30,"03L",NA,"Adult",206428
"104",2018-09-30,"03L",NA,"Child",56947
"105",2018-09-30,"03M",NA,"Adult",91453
"106",2018-09-30,"03M",NA,"Child",20887
"107",2018-09-30,"03N",NA,"Adult",461086
"108",2018-09-30,"03N",NA,"Child",116703
"109",2018-09-30,"03Q",NA,"Adult",293374
"110",2018-09-30,"03Q",NA,"Child",66228
"111",2018-09-30,"03R",NA,"Adult",269151
"112",2018-09-30,"03R",NA,"Child",71639
"113",2018-09-30,"03T",NA,"Adult",192421
"114",2018-09-30,"03T",NA,"Child",43231
"115",2018-09-30,"03V",NA,"Adult",52615
"116",2018-09-30,"03V",NA,"Child",16925
"117",2018-09-30,"03W",NA,"Adult",265122
"118",2018-09-30,"03W",NA,"Child",67524
"119",2018-09-30,"03X",NA,"Adult",NA
"120",2018-09-30,"03X",NA,"Child",NA
"121",2018-09-30,"03Y",NA,"Adult",NA
"122",2018-09-30,"03Y",NA,"Child",NA
"123",2018-09-30,"04C",NA,"Adult",269762
"124",2018-09-30,"04C",NA,"Child",83778
"125",2018-09-30,"04D",NA,"Adult",193666
"126",2018-09-30,"04D",NA,"Child",45886
"127",2018-09-30,"04E",NA,"Adult",158326
"128",2018-09-30,"04E",NA,"Child",41567
"129",2018-09-30,"04F",NA,"Adult",204897
"130",2018-09-30,"04F",NA,"Child",68932
"131",2018-09-30,"04G",NA,"Adult",507687
"132",2018-09-30,"04G",NA,"Child",147160
"133",2018-09-30,"04H",NA,"Adult",96642
"134",2018-09-30,"04H",NA,"Child",24483
"135",2018-09-30,"04J",NA,"Adult",NA
"136",2018-09-30,"04J",NA,"Child",NA
"137",2018-09-30,"04K",NA,"Adult",261270
"138",2018-09-30,"04K",NA,"Child",67939
"139",2018-09-30,"04L",NA,"Adult",121031
"140",2018-09-30,"04L",NA,"Child",30784
"141",2018-09-30,"04M",NA,"Adult",91198
"142",2018-09-30,"04M",NA,"Child",21520
"143",2018-09-30,"04N",NA,"Adult",92024
"144",2018-09-30,"04N",NA,"Child",23972
"145",2018-09-30,"04Q",NA,"Adult",100191
"146",2018-09-30,"04Q",NA,"Child",25952
"147",2018-09-30,"04R",NA,"Adult",NA
"148",2018-09-30,"04R",NA,"Child",NA
"149",2018-09-30,"04V",NA,"Adult",318389
"150",2018-09-30,"04V",NA,"Child",78651
"151",2018-09-30,"04Y",NA,"Adult",108871
"152",2018-09-30,"04Y",NA,"Child",27035
"153",2018-09-30,"05A",NA,"Adult",365190
"154",2018-09-30,"05A",NA,"Child",101309
"155",2018-09-30,"05C",NA,"Adult",250608
"156",2018-09-30,"05C",NA,"Child",68811
"157",2018-09-30,"05D",NA,"Adult",99781
"158",2018-09-30,"05D",NA,"Child",27453
"159",2018-09-30,"05F",NA,"Adult",155108
"160",2018-09-30,"05F",NA,"Child",35933
"161",2018-09-30,"05G",NA,"Adult",178779
"162",2018-09-30,"05G",NA,"Child",40469
"163",2018-09-30,"05H",NA,"Adult",152526
"164",2018-09-30,"05H",NA,"Child",40202
"165",2018-09-30,"05J",NA,"Adult",144366
"166",2018-09-30,"05J",NA,"Child",38432
"167",2018-09-30,"05L",NA,"Adult",373108
"168",2018-09-30,"05L",NA,"Child",128152
"169",2018-09-30,"05N",NA,"Adult",257768
"170",2018-09-30,"05N",NA,"Child",59691
"171",2018-09-30,"05Q",NA,"Adult",182087
"172",2018-09-30,"05Q",NA,"Child",43637
"173",2018-09-30,"05R",NA,"Adult",214989
"174",2018-09-30,"05R",NA,"Child",50495
"175",2018-09-30,"05T",NA,"Adult",245762
"176",2018-09-30,"05T",NA,"Child",59095
"177",2018-09-30,"05V",NA,"Adult",125498
"178",2018-09-30,"05V",NA,"Child",29004
"179",2018-09-30,"05W",NA,"Adult",204981
"180",2018-09-30,"05W",NA,"Child",58608
"181",2018-09-30,"05X",NA,"Adult",135627
"182",2018-09-30,"05X",NA,"Child",40141
"183",2018-09-30,"05Y",NA,"Adult",214082
"184",2018-09-30,"05Y",NA,"Child",67211
"185",2018-09-30,"06A",NA,"Adult",199835
"186",2018-09-30,"06A",NA,"Child",60091
"187",2018-09-30,"06D",NA,"Adult",81304
"188",2018-09-30,"06D",NA,"Child",19411
"189",2018-09-30,"06F",NA,"Adult",349269
"190",2018-09-30,"06F",NA,"Child",100673
"191",2018-09-30,"06H",NA,"Adult",691009
"192",2018-09-30,"06H",NA,"Child",192560
"193",2018-09-30,"06K",NA,"Adult",442779
"194",2018-09-30,"06K",NA,"Child",124801
"195",2018-09-30,"06L",NA,"Adult",325389
"196",2018-09-30,"06L",NA,"Child",82771
"197",2018-09-30,"06M",NA,"Adult",174697
"198",2018-09-30,"06M",NA,"Child",42617
"199",2018-09-30,"06N",NA,"Adult",453426
"200",2018-09-30,"06N",NA,"Child",140332
