"","Year","Geography","Parent_Code_1","Sub_ICB_Code","Group","Contract_Type","Age_Group","Gender","Dentist_Type","Dentist_Count","Financial_yr","Region","ICB"
"1","2015-16","1.National","ENG",NA,"Workforce","GDS","35-44","F",NA,2844,"2016","England",NA
"2","2015-16","1.National","ENG",NA,"Workforce","GDS","35-44","M",NA,2737,"2016","England",NA
"3","2015-16","1.National","ENG",NA,"Workforce","GDS","45-54","F",NA,1603,"2016","England",NA
"4","2015-16","1.National","ENG",NA,"Workforce","GDS","45-54","M",NA,2527,"2016","England",NA
"5","2015-16","1.National","ENG",NA,"Workforce","GDS","55+","F",NA,556,"2016","England",NA
"6","2015-16","1.National","ENG",NA,"Workforce","GDS","55+","M",NA,2189,"2016","England",NA
"7","2015-16","1.National","ENG",NA,"Workforce","GDS","Under 35","F",NA,4310,"2016","England",NA
"8","2015-16","1.National","ENG",NA,"Workforce","GDS","Under 35","M",NA,3210,"2016","England",NA
"9","2015-16","1.National","ENG",NA,"Workforce","Mixed","35-44","F",NA,216,"2016","England",NA
"10","2015-16","1.National","ENG",NA,"Workforce","Mixed","35-44","M",NA,247,"2016","England",NA
"11","2015-16","1.National","ENG",NA,"Workforce","Mixed","45-54","F",NA,107,"2016","England",NA
"12","2015-16","1.National","ENG",NA,"Workforce","Mixed","45-54","M",NA,164,"2016","England",NA
"13","2015-16","1.National","ENG",NA,"Workforce","Mixed","55+","F",NA,40,"2016","England",NA
"14","2015-16","1.National","ENG",NA,"Workforce","Mixed","55+","M",NA,115,"2016","England",NA
"15","2015-16","1.National","ENG",NA,"Workforce","Mixed","Under 35","F",NA,363,"2016","England",NA
"16","2015-16","1.National","ENG",NA,"Workforce","Mixed","Under 35","M",NA,291,"2016","England",NA
"17","2015-16","1.National","ENG",NA,"Workforce","PDS","35-44","F",NA,264,"2016","England",NA
"18","2015-16","1.National","ENG",NA,"Workforce","PDS","35-44","M",NA,199,"2016","England",NA
"19","2015-16","1.National","ENG",NA,"Workforce","PDS","45-54","F",NA,266,"2016","England",NA
"20","2015-16","1.National","ENG",NA,"Workforce","PDS","45-54","M",NA,242,"2016","England",NA
"21","2015-16","1.National","ENG",NA,"Workforce","PDS","55+","F",NA,136,"2016","England",NA
"22","2015-16","1.National","ENG",NA,"Workforce","PDS","55+","M",NA,224,"2016","England",NA
"23","2015-16","1.National","ENG",NA,"Workforce","PDS","Under 35","F",NA,236,"2016","England",NA
"24","2015-16","1.National","ENG",NA,"Workforce","PDS","Under 35","M",NA,142,"2016","England",NA
"25","2015-16","1.National","ENG",NA,"Workforce","TDS","35-44","F",NA,191,"2016","England",NA
"26","2015-16","1.National","ENG",NA,"Workforce","TDS","35-44","M",NA,48,"2016","England",NA
"27","2015-16","1.National","ENG",NA,"Workforce","TDS","45-54","F",NA,170,"2016","England",NA
"28","2015-16","1.National","ENG",NA,"Workforce","TDS","45-54","M",NA,60,"2016","England",NA
"29","2015-16","1.National","ENG",NA,"Workforce","TDS","55+","F",NA,122,"2016","England",NA
"30","2015-16","1.National","ENG",NA,"Workforce","TDS","55+","M",NA,84,"2016","England",NA
"31","2015-16","1.National","ENG",NA,"Workforce","TDS","Under 35","F",NA,144,"2016","England",NA
"32","2015-16","1.National","ENG",NA,"Workforce","TDS","Under 35","M",NA,42,"2016","England",NA
"33","2015-16","2.NHS England Region","Y56",NA,"Workforce","GDS","35-44","F",NA,560,"2016",NA,NA
"34","2015-16","2.NHS England Region","Y56",NA,"Workforce","GDS","35-44","M",NA,460,"2016",NA,NA
"35","2015-16","2.NHS England Region","Y56",NA,"Workforce","GDS","45-54","F",NA,255,"2016",NA,NA
"36","2015-16","2.NHS England Region","Y56",NA,"Workforce","GDS","45-54","M",NA,385,"2016",NA,NA
"37","2015-16","2.NHS England Region","Y56",NA,"Workforce","GDS","55+","F",NA,92,"2016",NA,NA
"38","2015-16","2.NHS England Region","Y56",NA,"Workforce","GDS","55+","M",NA,362,"2016",NA,NA
"39","2015-16","2.NHS England Region","Y56",NA,"Workforce","GDS","Under 35","F",NA,984,"2016",NA,NA
"40","2015-16","2.NHS England Region","Y56",NA,"Workforce","GDS","Under 35","M",NA,624,"2016",NA,NA
"41","2015-16","2.NHS England Region","Y56",NA,"Workforce","Mixed","35-44","F",NA,28,"2016",NA,NA
"42","2015-16","2.NHS England Region","Y56",NA,"Workforce","Mixed","35-44","M",NA,29,"2016",NA,NA
"43","2015-16","2.NHS England Region","Y56",NA,"Workforce","Mixed","45-54","F",NA,17,"2016",NA,NA
"44","2015-16","2.NHS England Region","Y56",NA,"Workforce","Mixed","45-54","M",NA,22,"2016",NA,NA
"45","2015-16","2.NHS England Region","Y56",NA,"Workforce","Mixed","55+","F",NA,5,"2016",NA,NA
"46","2015-16","2.NHS England Region","Y56",NA,"Workforce","Mixed","55+","M",NA,18,"2016",NA,NA
"47","2015-16","2.NHS England Region","Y56",NA,"Workforce","Mixed","Under 35","F",NA,48,"2016",NA,NA
"48","2015-16","2.NHS England Region","Y56",NA,"Workforce","Mixed","Under 35","M",NA,43,"2016",NA,NA
"49","2015-16","2.NHS England Region","Y56",NA,"Workforce","PDS","35-44","F",NA,45,"2016",NA,NA
"50","2015-16","2.NHS England Region","Y56",NA,"Workforce","PDS","35-44","M",NA,44,"2016",NA,NA
