schedule_month,region_name,commissioner_name,monthly_ud_as_delivered,monthly_uo_as_delivered,urgent_forms,any_band_unique_patients_rolling_12_month,band_1_unique_patients_rolling_12_month,band_2_or_3_unique_patients_rolling_12_month,urgent_band_1_unique_patients_rolling_12_month,other_unique_patients_rolling_12_month
2016-04-01T00:00:00Z,East of England,"Bedfordshire, Luton and Milton Keynes ICB",39060.2,NA,1570,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,East of England,Cambridgeshire and Peterborough ICB,47065.8,NA,2278,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,East of England,Hertfordshire and West Essex ICB,75984.6,NA,2950,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,East of England,Mid and South Essex ICB,68931.4,NA,2810,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,East of England,Norfolk and Waveney ICB,55287.8,NA,3029,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,East of England,Suffolk and North East Essex ICB,55827.6,NA,2417,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,London,North Central London ICB,63750.2,NA,3114,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,London,North East London ICB,78655.6,NA,3057,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,London,North West London ICB,100299.8,NA,4374,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,London,South East London ICB,90895.2,NA,3706,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,London,South West London ICB,63026.4,NA,2679,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,Midlands,Birmingham and Solihull ICB,68268.8,NA,2529,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,Midlands,Black Country ICB,77835.8,NA,2618,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,Midlands,Coventry and Warwickshire ICB,59108,NA,1520,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,Midlands,Derby and Derbyshire ICB,56547.6,NA,1949,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,Midlands,Herefordshire and Worcestershire ICB,40018.6,NA,1317,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,Midlands,"Leicester, Leicestershire and Rutland ICB",54490.4,NA,1980,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,Midlands,Lincolnshire ICB,40306.6,NA,1691,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,Midlands,Northamptonshire ICB,40657.8,NA,1948,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,Midlands,Nottingham and Nottinghamshire ICB,69416.2,NA,2335,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,Midlands,"Shropshire, Telford and Wrekin ICB",26367,NA,1019,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,Midlands,Staffordshire and Stoke-on-Trent ICB,71497.6,NA,1982,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,North East and Yorkshire,Humber and North Yorkshire ICB,99434.4,NA,4026,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,North East and Yorkshire,North East and North Cumbria ICB,182388,NA,7433,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,North East and Yorkshire,South Yorkshire ICB,94368.59999999999,NA,3446,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,North East and Yorkshire,West Yorkshire ICB,156548.8,NA,5800,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,North West,Cheshire and Merseyside ICB,163147.2,NA,7992,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,North West,Greater Manchester ICB,182219,NA,8658,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,North West,Lancashire and South Cumbria ICB,96709.8,NA,4182,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,South East,"Buckinghamshire, Oxfordshire and Berkshire West ICB",80433.6,NA,3608,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,South East,Frimley ICB,38449.8,NA,1994,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,South East,Hampshire and Isle Of Wight ICB,95773,NA,4684,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,South East,Kent And Medway ICB,94334.2,NA,4458,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,South East,Surrey Heartlands ICB,43201,NA,1857,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,South East,Sussex ICB,93661.6,NA,4113,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,South West,"Bath and North East Somerset, Swindon And Wiltshire ICB",44616.4,NA,1612,NA,NA,NA,NA,NA
2016-04-01T00:00:00Z,South West,"Bristol, North Somerset and South Gloucestershire ICB",61586.6,NA,2312,NA,NA,NA,NA,NA
