code,name,type,icb_name,easting,northing,nhs_private,avg_deprivation
V82510,Birmingham Dental Specialists,Dental service,Birmingham and Solihull,406320,286333,P,3.677573204575156
V04832,Dental Surgery,Dental service,Birmingham and Solihull,409678,285369,D,1
V04913,Dental Surgery,Dental service,Birmingham and Solihull,409473,285943,D,1.0758115998095399
V04896,Dental Surgery,Dental service,Birmingham and Solihull,410177,285527,D,1.099155026489719
V28583,Grantham Road (Dental Surgery),Dental service,Birmingham and Solihull,408840,284968,D,1.0019273822691477
V04866,Dental Surgery,Dental service,Birmingham and Solihull,409080,284450,D,1.0595784283064187
V04874,Dental Surgery,Dental service,Birmingham and Solihull,410360,283952,D,1.620972466944705
V04361,Stratford Road (Dental Surgery),Dental service,Birmingham and Solihull,409402,283574,D,1.6233616868620389
V28584,Stratford Road (Dental Surgery),Dental service,Birmingham and Solihull,409720,282958,D,2.158933106498057
V04838,Dental Surgery,Dental service,Birmingham and Solihull,409713,282898,D,2.2038834251567163
V04894,Prime Dental Surgery,Dental service,Birmingham and Solihull,409182,283942,D,1.3154518166187896
V04817,Dental Surgery,Dental service,Birmingham and Solihull,408460,284152,D,1.105626945206303
V04909,Dental Surgery,Dental service,Birmingham and Solihull,408463,284475,D,1.014466605195072
V08191,S. Birmingham Community Health,Dental service,Birmingham and Solihull,407711,284387,D,1.1010677163087024
V04898,Dental Surgery,Dental service,Birmingham and Solihull,407742,284140,D,1.1885330265602525
V01334,Dental Surgery,Dental service,Birmingham and Solihull,409644,281767,D,3.259405657320284
V01185,Dental Surgery,Dental service,Birmingham and Solihull,407588,283172,D,2.428807132952152
V85778,Mango Tree Dental,Dental service,Birmingham and Solihull,408095,283085,P,2.4988467680064694
V01193,Dental Surgery,Dental service,Birmingham and Solihull,409003,279103,D,3.1226372024826903
V01200,Dental Surgery,Dental service,Birmingham and Solihull,407736,278606,D,3.56831787510327
V01202,Dental Surgery,Dental service,Birmingham and Solihull,406089,278803,D,2.5102726491069602
V07264,Dental Surgery,Dental service,Birmingham and Solihull,407149,280635,D,4.11721823447732
V01183,Dental Surgery,Dental service,Birmingham and Solihull,407402,280527,D,4.31362043765594
V01217,James Hull Dental Care,Dental service,Birmingham and Solihull,407359,281787,D,4.246900131196125
V01204,Midlands Smile Centres,Dental service,Birmingham and Solihull,406426,281068,D,3.3972888694480976
V01186,Dental Surgery,Dental service,Birmingham and Solihull,405719,286029,D,3.46069903888056
V28579,Attwood Green Health Centre,Dental service,Birmingham and Solihull,406317,286062,D,3.447687805119056
V83108,Mycol Ltd,Dental service,Birmingham and Solihull,406201,285707,P,3.1504073603330247
V10129,Pritchatts Road (Dental Surgery),Dental service,Birmingham and Solihull,404311,284212,D,5.122942574342507
V83225,Highfield Dental Clinic,Dental service,Birmingham and Solihull,405080,285895,P,3.5659302096359635
V83317,Signature Orthodontics Ltd,Dental service,Birmingham and Solihull,405070,285753,P,3.681434883049496
V01208,Dental Surgery,Dental service,Birmingham and Solihull,404770,285640,D,4.062093277519899
V82612,Nursery Road Dental Practice,Dental service,Birmingham and Solihull,403928,284887,P,5.88435589958046
V83128,Liberty Place,Dental service,Birmingham and Solihull,405696,286826,P,3.6387716691346226
V04828,Dental Surgery,Dental service,Birmingham and Solihull,404939,286534,D,2.7941695990457975
V01223,Dental Surgery,Dental service,Birmingham and Solihull,404274,286127,D,3.460348975737042
V80404,Edgbaston Orthodontics,Dental service,Birmingham and Solihull,404274,286127,P,3.460348975737042
V01195,Dental Surgery,Dental service,Birmingham and Solihull,403038,284227,D,4.902641661117291
V08239,Dental Surgery,Dental service,Birmingham and Solihull,403936,284650,D,5.48313364518129
V01444,Rooprai-Rooprai & Associates,Dental service,Birmingham and Solihull,402391,284019,D,3.80177533380182
V01209,Knightlow Road (Dental Surgery),Dental service,Birmingham and Solihull,403082,285541,D,4.7860474979727226
V01226,Dental Surgery,Dental service,Birmingham and Solihull,402608,284673,D,5.668198526779367
V08190,Dental Dept.,Dental service,Birmingham and Solihull,404272,288288,D,1.2986666977368084
V04912,Dental Surgery,Dental service,Birmingham and Solihull,403885,287642,D,2.0074737267104306
V13874,Synergy Dental Practice Limited,Dental service,Birmingham and Solihull,404357,287751,D,1.5865183330447996
V05354,Broadway Dental Suite,Dental service,Birmingham and Solihull,405252,287211,D,2.8424189581983548
V05873,Heathfield Road Dental Practice,Dental service,Birmingham and Solihull,406375,289958,D,1.1397276182093456
V05876,Birchfield Dental Practice,Dental service,Birmingham and Solihull,406708,289959,D,1.1292197677238587
V14946,Birchfield Road (Dental Surgery),Dental service,Birmingham and Solihull,406708,289959,D,1.1292197677238587
V04825,Dental Surgery,Dental service,Birmingham and Solihull,406924,289505,D,1.0936459441430992
V04840,Dental Surgery,Dental service,Birmingham and Solihull,406606,288866,D,1.1378491863499185
V04871,Dental Surgery,Dental service,Birmingham and Solihull,406243,289437,D,1.0083425726081527
V04914,Lozells Road (Dental Surgery),Dental service,Birmingham and Solihull,406646,289404,D,1.0325699680547407
V04810,Farm Street (Dental Surgery),Dental service,Birmingham and Solihull,406090,288667,D,1.4355969593195044
V82835,Mismile Birmingham,Dental service,Birmingham and Solihull,406950,286776,P,3.9972380059689243
V04835,Dental Surgery,Dental service,Birmingham and Solihull,407098,286929,D,4.043207656567323
V05051,Dental Surgery,Dental service,Birmingham and Solihull,404963,291433,D,3.6570410565042493
V04839,Dental Surgery,Dental service,Birmingham and Solihull,404970,290574,D,1.9017242856313856
V04863,Handsworth Dental Care,Dental service,Birmingham and Solihull,403489,289879,D,1.3709988041773409
V13853,78 Soho Road (Dental Practice),Dental service,Birmingham and Solihull,404996,289364,D,1.0157041579196646
V04897,Grove Lane Dental Surgery,Dental service,Birmingham and Solihull,404710,289925,D,1.2675805010949597
V04830,Dental Surgery,Dental service,Birmingham and Solihull,404234,290599,D,1.8822387231299849
V04902,Dental Surgery,Dental service,Birmingham and Solihull,404234,290599,D,1.8822387231299849
